symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
caci,12-18-2020,18.21,13.63,1.40%,25.10M,6.31B,15.38,16.13,-3.13%,24.74M,4.56%,347.10M,1.58,3.58,89.40%,1.40%,16.40%,5.82B,1.08,21.80%,0.16%,2.21,13.56%,110.43,2.25,7.48%,6.20%,284.00,-0.75%,4.91,50.50,11.49%,13.20%,156.15 - 288.59,-0.75%,-,11.98,19.50%,9.30%,-14.00%,1.09,-,1.40,11.50%,35.00%,58.94%,4.58,22900,1.50,7.00%,8.50%,60.22,1.49% 1.91%,Yes,0.58,38.00%,6.00%,0.18,248.11,Yes,0.57,Oct 28 AMC,0.00%,large,6310000000.0,caci,CACI International Inc. Class A Common Stock,6301926432.0,United States,,Technology,EDP Services
cade,12-18-2020,-,-2.81,1.30%,125.96M,2.09B,11.06,1.49,-3.27%,121.75M,18.29%,-354.80M,-,0.39,93.30%,4.68%,91.97%,748.00M,2.79,-20.70%,1.01%,4.60,101.84%,16.45,1.00,225.55%,-2.00%,16.72,-9.05%,10.45,1.58,-,-16.30%,4.63 - 18.24,-9.05%,0.30,4.43,25.60%,17.60%,-9.10%,1.91,1.82%,-,24.50%,-,258.10%,0.55,1849,-,-20.00%,42.90%,69.88,3.85% 3.22%,Yes,0.13,14.60%,-47.40%,0.18,16.49,Yes,0.13,Oct 21 BMO,-,large,2090000000.0,cade,Cadence Bancorporation Class A Common Stock,2084944688.0,United States,2017.0,Finance,Major Banks
cae,12-18-2020,161.16,0.17,1.10%,265.78M,7.93B,36.49,0.76,0.00%,265.49M,14.50%,46.90M,-,0.13,73.30%,1.06%,90.70%,2.46B,3.23,-5.50%,-0.40%,6.78,78.15%,6.63,4.21,132.22%,0.80%,19.03,5.37%,0.71,39.47,-8.72%,2.60%,9.80 - 31.56,5.37%,-,33.98,9.00%,8.00%,-12.07%,1.72,-,0.70,10.00%,28.60%,183.16%,0.79,10500,1.10,-21.40%,6.90%,69.67,1.95% 2.86%,Yes,1.16,-107.10%,1.90%,0.37,27.88,Yes,1.05,Nov 10 BMO,124.80%,large,7930000000.0,cae,CAE Inc. Ordinary Shares,7795568333.0,Canada,,Miscellaneous,Industrial Machinery/Components
caf,12-18-2020,-,-,-,21.88M,482.05M,-,-,-,-,2.90%,-,-,-,61.77%,-,14.11%,-,-,-,-,0.60,21.10%,-,-,-,-,-,10.95%,-,-,-,-,14.42 - 22.40,10.95%,0.23,-,-,-,-1.05%,-,1.04%,-,-,-,53.72%,0.34,-,-,-,-,61.88,1.59% 1.28%,Yes,-,-,-,0.77,22.03,Yes,-,-,-,small,482050000.0,caf,Morgan Stanley China A Share Fund Inc. Common Stock,484018006.0,United States,2006.0,,
cag,12-18-2020,17.75,2.04,0.30%,488.20M,17.66B,13.93,2.59,-19.81%,486.51M,-1.18%,995.30M,2.54,0.73,84.80%,1.83%,1.18%,11.34B,1.56,12.60%,0.86%,3.24,1.29%,16.64,2.17,3.27%,4.50%,38.44,5.52%,0.90,40.31,7.00%,12.70%,22.83 - 39.34,5.52%,1.10,16.09,10.80%,7.20%,-8.92%,0.85,3.04%,0.40,4.10%,28.70%,56.94%,0.58,16500,0.90,12.10%,15.10%,47.71,1.28% 1.60%,Yes,1.18,88.50%,8.80%,0.3,36.13,Yes,1.10,Jan 07 BMO,41.70%,large,17660000000.0,cag,ConAgra Brands Inc. Common Stock,17667256110.0,United States,,Consumer Non-Durables,Packaged Foods
cah,12-18-2020,16.14,3.31,0.40%,293.00M,15.71B,8.68,6.16,0.00%,292.90M,-2.02%,973.00M,3.18,1.44,87.50%,1.63%,13.93%,154.65B,0.10,-378.60%,-0.94%,2.34,3.50%,4.85,11.03,5.07%,2.40%,61.75,5.75%,9.35,5.72,5.08%,71.90%,39.05 - 60.69,5.75%,1.94,8.13,-40.60%,-47.10%,-12.93%,1.06,3.63%,0.60,8.30%,4.50%,35.32%,1.19,48000,1.10,4.60%,0.30%,43.85,1.58% 2.22%,Yes,4.74,94.80%,0.60%,0.34,53.49,Yes,4.73,Nov 05 BMO,58.00%,large,15710000000.0,cah,Cardinal Health Inc. Common Stock,15686263191.0,United States,,Health Care,Other Pharmaceuticals
cai,12-18-2020,18.12,1.72,0.20%,17.57M,559.50M,6.41,4.87,-22.47%,16.44M,-1.52%,30.30M,2.27,1.13,87.40%,2.77%,13.22%,329.90M,1.70,-37.20%,-,2.99,89.37%,33.87,0.92,34.17%,0.40%,39.00,7.56%,2.36,13.23,8.00%,2.10%,10.13 - 35.76,7.56%,1.00,2.13,-3.70%,4.90%,-13.12%,1.77,3.21%,0.80,12.80%,92.00%,206.71%,1.55,218,0.80,-2.80%,34.30%,47.04,5.04% 4.82%,Yes,3.71,296.50%,3.80%,1.73,31.17,Yes,2.87,Oct 29 AMC,109.50%,small,559500000.0,cai,CAI International Inc. Common Stock,548773762.0,United States,,Technology,Diversified Commercial Services
caj,12-18-2020,34.04,0.57,-,1.05B,25.53B,19.22,1.01,-,1.03B,9.25%,603.40M,34.04,0.28,1.30%,0.16%,16.76%,30.59B,0.83,-50.10%,-1.57%,3.61,-0.67%,23.09,0.84,99.21%,1.30%,15.71,-29.18%,3.67,5.28,1.00%,2.40%,15.46 - 28.18,-29.18%,0.75,56.58,-12.60%,3.80%,-31.05%,0.44,3.87%,1.10,-0.70%,43.70%,25.68%,0.36,187041,1.70,-12.70%,2.70%,53.42,1.42% 1.12%,Yes,0.23,-36.10%,2.00%,0.43,19.37,No,0.14,-,-,large,25530000000.0,caj,Canon Inc. American Depositary Shares,20324641381.0,Japan,,Miscellaneous,Industrial Machinery/Components
cake,12-18-2020,-,-4.36,7.09%,43.90M,1.68B,23.73,1.54,0.00%,42.35M,-2.69%,-191.10M,-,0.08,99.00%,25.52%,31.47%,2.12B,0.79,33.40%,-2.53%,9.19,67.68%,7.34,4.97,240.00%,-6.80%,33.82,-6.15%,5.31,6.87,-7.04%,-45.90%,14.52 - 43.00,-6.15%,-,-,7.80%,10.50%,-13.05%,1.72,-,0.70,4.70%,76.90%,157.51%,1.42,46250,0.80,-11.70%,-14.20%,53.76,3.15% 3.96%,Yes,1.17,-307.60%,-9.00%,0.55,36.47,Yes,1.17,Oct 29 AMC,-,large,1680000000.0,cake,Cheesecake Factory Incorporated (The) Common Stock,1661083657.0,United States,1992.0,Consumer Services,Restaurants
cal,12-18-2020,-,-9.77,1.20%,36.55M,575.31M,9.56,1.58,-3.18%,36.10M,28.29%,-361.70M,-,0.04,82.20%,4.71%,57.95%,2.25B,0.26,783.00%,-5.45%,2.88,90.66%,7.02,2.15,212.10%,-32.20%,14.67,-36.42%,3.26,4.63,15.00%,-198.40%,3.12 - 24.11,-36.42%,0.28,7.57,-4.20%,7.80%,-36.37%,2.42,1.85%,0.40,2.60%,37.40%,391.67%,0.78,11400,0.90,-18.30%,-38.10%,74.21,4.92% 5.41%,Yes,1.94,-45.00%,-31.50%,0.71,15.1,Yes,0.77,Nov 19 AMC,-,small,575310000.0,cal,Caleres Inc. Common Stock,582842970.0,United States,,Consumer Non-Durables,Shoe Manufacturing
cala,12-18-2020,-,-1.39,0.72%,70.56M,374.05M,-,-1.19,-0.46%,70.05M,4.07%,-89.30M,-,-0.32,81.20%,2.88%,48.12%,-,-,-27.30%,-4.00%,3.14,-2.48%,1.74,2.94,8.50%,-56.60%,-,-10.51%,1.88,2.71,-,-66.60%,2.99 - 8.18,-10.51%,-,-,16.50%,-,-39.43%,1.78,-,7.10,-,-,65.72%,0.34,93,7.10,-,-,50.22,6.23% 7.16%,Yes,0.00,14.60%,-,2.0,5.11,Yes,0.00,Nov 05 AMC,-,small,374050000.0,cala,Calithera Biosciences Inc. Common Stock,357027078.0,United States,2014.0,Health Care,Major Pharmaceuticals
calm,12-18-2020,41.16,0.91,7.10%,48.50M,1.85B,22.80,1.64,-66.33%,37.34M,-4.27%,44.80M,0.58,-0.08,89.30%,13.20%,-2.37%,1.40B,1.32,-66.10%,20.73%,15.49,-14.75%,20.45,1.83,111.18%,3.90%,49.67,-12.37%,3.92,9.56,71.00%,4.60%,30.74 - 46.66,-12.37%,0.27,-,-35.30%,0.00%,-21.00%,-0.22,0.73%,3.60,-3.00%,15.60%,19.91%,0.93,3636,6.10,21.40%,2.70%,39.65,2.32% 2.53%,Yes,0.00,57.70%,3.20%,1.08,37.46,Yes,0.00,Sep 28 BMO,0.00%,large,1850000000.0,calm,Cal-Maine Foods Inc. Common Stock,1839184578.0,United States,1996.0,Consumer Non-Durables,Farming/Seeds/Milling
calt,12-18-2020,-,-,-,24.97M,848.26M,-,-0.70,-,15.11M,-7.31%,-,-,-0.45,11.38%,0.04%,41.54%,-,-,-,-,0.12,43.91%,-,-,44.40%,-,48.00,-,-,-,-,-,19.00 - 38.00,73.32%,-,-,-,-,-10.32%,-,-,-,-,-,79.37%,0.93,23,-,-,-,56.35,1.92% 2.21%,No,-,-,-,0.01,33.97,Yes,-,-,-,small,848260000.0,calt,Calliditas Therapeutics AB American Depositary Shares,849006928.0,Sweden,2020.0,Health Care,Major Pharmaceuticals
calx,12-18-2020,220.96,0.14,2.20%,60.31M,1.87B,37.66,0.80,-1.25%,53.00M,26.90%,9.90M,11.05,0.33,74.80%,5.44%,69.01%,491.40M,3.80,12.30%,7.54%,3.00,106.96%,4.10,7.33,-7.64%,2.90%,31.20,275.62%,1.67,17.98,20.00%,5.60%,5.61 - 33.05,275.62%,-,124.45,4.70%,-8.80%,-9.77%,1.48,-,2.00,1.10%,47.40%,431.55%,1.4,763,2.40,31.40%,2.80%,58.71,4.23% 5.82%,Yes,0.02,631.30%,2.00%,0.3,30.05,Yes,0.00,Oct 20 AMC,0.00%,large,1870000000.0,calx,Calix Inc Common Stock,1880986206.0,United States,2010.0,Consumer Services,Telecommunications Equipment
camp,12-18-2020,-,-3.03,2.40%,34.60M,333.21M,22.59,0.44,0.43%,34.06M,8.22%,-103.40M,-,0.05,76.50%,3.55%,37.27%,339.00M,0.98,-551.80%,0.51%,5.37,24.46%,2.87,3.44,270.34%,-21.80%,11.90,3.03%,-,-,12.00%,-85.90%,3.70 - 11.29,3.03%,-,19.60,-48.50%,-18.10%,-13.46%,2.48,-,1.70,7.90%,38.40%,164.05%,0.47,1080,2.00,-8.90%,-18.10%,51.90,4.19% 4.82%,Yes,1.87,-212.20%,-30.50%,0.63,9.87,Yes,1.82,Dec 17 BMO,-,small,333210000.0,camp,CalAmp Corp. Common Stock,344391317.0,United States,1983.0,Technology,Radio And Television Broadcasting And Communications Equipment
camt,12-18-2020,46.19,0.47,62.70%,39.18M,930.27M,29.86,0.73,0.00%,25.08M,15.17%,18.70M,3.08,0.19,27.80%,1.40%,41.16%,140.40M,6.63,6.30%,0.93%,1.81,75.93%,3.93,5.52,15.95%,10.00%,20.50,100.46%,2.47,8.78,15.00%,13.00%,6.26 - 21.90,100.46%,0.17,-,37.70%,14.70%,-0.91%,1.64,0.78%,3.20,8.70%,46.80%,246.37%,0.84,322,4.00,23.40%,13.70%,63.61,5.21% 4.01%,Yes,0.00,42.00%,13.30%,1.0,21.71,Yes,0.00,Oct 27 BMO,0.00%,small,930270000.0,camt,Camtek Ltd. Ordinary Shares,882127467.0,Israel,2000.0,Capital Goods,Electronic Components
can,12-18-2020,-,-0.91,-,156.67M,693.18M,-,-,-,131.33M,-12.40%,-143.90M,-,-,7.50%,3.81%,134.22%,133.40M,5.20,-945.00%,205.72%,0.88,132.98%,0.53,8.26,-,-104.60%,-,-28.20%,0.37,11.87,-,-148.10%,1.76 - 8.69,-28.20%,-,-,-,-128.60%,-31.76%,-,-,3.80,-,-73.90%,236.93%,0.62,333,4.10,-75.70%,-,71.00,12.29% 12.52%,No,0.09,-192.20%,-,14.32,4.38,Yes,0.00,Nov 30 BMO,-,small,693180000.0,can,Canaan Inc. American Depositary Shares,645151222.0,China,2019.0,Technology,Semiconductors
canf,12-18-2020,-,-1.47,1.19%,15.41M,28.21M,-,-0.68,0.00%,14.76M,-3.68%,-,-,-0.26,7.72%,1.73%,3.39%,0.81M,35.04,62.70%,-,0.56,-5.67%,0.63,2.90,44.70%,-,-,-44.55%,-,-,-,-,1.08 - 4.00,-44.55%,-,-,-,-,-55.88%,-,-,-,-,-,63.39%,0.1,8,-,-81.70%,-,41.22,4.20% 5.47%,No,-,-,-,0.74,1.83,Yes,-,Nov 30 BMO,-,small,28210000.0,canf,Can-Fite Biopharma Ltd Sponsored ADR (Israel),27976377.0,Israel,,Health Care,Major Pharmaceuticals
cang,12-18-2020,2.11,3.71,-,74.85M,1.21B,16.12,0.49,-,41.04M,-8.86%,291.50M,0.19,0.15,32.60%,0.06%,40.90%,207.30M,5.85,19.60%,0.07%,0.11,37.19%,14.17,0.55,20.95%,21.10%,6.60,-14.54%,2.53,3.10,11.11%,32.90%,4.20 - 14.00,-14.54%,0.25,-,-,3.00%,-48.07%,-,3.20%,2.20,-,60.80%,73.10%,0.97,3189,2.20,23.80%,14.70%,48.41,14.17% 8.73%,No,0.34,1403.80%,-,6.3,7.82,Yes,0.10,Nov 23 AMC,0.00%,large,1210000000.0,cang,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,1200993309.0,,2018.0,Technology,Computer Software: Prepackaged Software
capl,12-18-2020,6.08,2.82,0.60%,37.87M,650.25M,21.55,0.80,0.80%,19.23M,-0.06%,102.50M,3.04,0.14,39.60%,0.27%,15.20%,1.89B,0.34,375.80%,-1.43%,1.04,23.59%,3.17,5.40,-71.66%,10.50%,16.00,-5.10%,0.03,500.20,2.00%,91.40%,6.81 - 19.79,-5.10%,2.10,11.10,29.10%,7.20%,-13.19%,2.22,12.26%,0.40,-4.20%,10.10%,152.28%,0.49,179,0.60,5.60%,6.20%,54.24,2.49% 2.86%,Yes,4.37,174.40%,5.40%,0.58,17.13,Yes,4.35,Nov 04 AMC,74.60%,small,650250000.0,capl,CrossAmerica Partners LP Common Units representing limited partner interests,647164906.0,United States,2012.0,Energy,Oil Refining/Marketing
capr,12-18-2020,-,-1.07,0.50%,20.45M,75.41M,-,-1.01,0.00%,19.93M,-11.90%,-10.90M,-,-0.20,6.10%,3.84%,-29.52%,0.50M,150.81,60.10%,34.23%,1.54,-21.61%,1.54,2.40,-14.80%,-44.40%,-,189.06%,1.73,2.14,-,-55.80%,0.88 - 12.32,189.06%,-,-,17.30%,-75.80%,-72.03%,6.68,-,15.60,-26.80%,-,291.59%,0.26,16,15.60,-88.10%,-,29.18,8.22% 6.11%,Yes,0.12,53.90%,-,1.78,3.7,Yes,0.12,Nov 12 AMC,-,small,75410000.0,capr,Capricor Therapeutics Inc. Common Stock,75054608.0,United States,,Health Care,Major Pharmaceuticals
car,12-18-2020,-,-6.52,0.30%,69.70M,2.59B,12530.00,0.00,-,68.42M,6.88%,-452.00M,-,-0.48,-,18.01%,42.82%,6.21B,0.42,93.70%,-2.44%,6.09,67.22%,-1.09,-,100.00%,-2.10%,41.17,16.59%,22.68,1.66,-2.10%,-251.50%,6.35 - 52.98,16.59%,-,2.27,12.40%,4.90%,-28.76%,2.31,-,1.20,1.60%,42.40%,494.41%,1.87,30000,1.20,-44.30%,-6.60%,53.83,4.52% 5.08%,Yes,-,-74.30%,-7.30%,0.28,37.59,Yes,-,Oct 29 AMC,-,large,2590000000.0,car,Avis Budget Group Inc. Common Stock,2623926958.0,United States,,Consumer Services,Rental/Leasing Companies
cara,12-18-2020,-,-2.12,2.00%,46.89M,766.39M,-,-1.78,-6.62%,41.83M,4.84%,-99.10M,-,0.35,68.60%,9.46%,20.86%,27.50M,27.87,-20.90%,2.07%,9.41,-13.11%,2.73,5.63,-44.70%,-53.20%,-,-4.53%,2.43,6.34,-,-64.40%,8.88 - 19.13,-4.53%,-,-,-24.10%,-59.40%,-20.09%,1.71,-,8.00,44.30%,-,72.18%,0.59,76,8.00,60.30%,-,52.78,4.47% 3.86%,Yes,0.00,52.30%,-,0.52,15.38,Yes,0.00,Nov 09 AMC,-,small,766390000.0,cara,Cara Therapeutics Inc. Common Stock,766916081.0,United States,2014.0,Health Care,Major Pharmaceuticals
care,12-18-2020,-,-1.71,2.40%,26.39M,287.06M,23.38,0.47,0.00%,24.62M,17.29%,-45.20M,-,0.10,32.40%,0.77%,65.26%,147.20M,1.95,122.60%,-1.83%,2.68,43.19%,16.48,0.67,126.90%,-1.10%,10.17,-53.34%,2.87,3.83,-,-9.70%,6.30 - 24.08,-53.34%,-,-,-4.60%,22.80%,-55.23%,1.30,-,-,1.60%,-,71.11%,0.47,994,-,-15.40%,71.20%,63.00,2.73% 4.41%,No,0.00,-857.90%,-30.70%,0.46,10.99,Yes,0.00,-,-,small,287060000.0,care,Carter Bankshares Inc. Common Stock,292894601.0,United States,,Finance,Major Banks
carg,12-18-2020,56.16,0.58,2.10%,113.03M,3.62B,29.38,1.10,-42.16%,83.50M,29.14%,65.60M,2.05,0.27,96.90%,14.29%,49.56%,558.10M,6.48,-35.40%,-0.04%,7.48,24.42%,2.99,10.82,7.84%,15.70%,32.58,-8.04%,2.20,14.71,27.35%,22.40%,14.25 - 38.53,-8.04%,-,28.78,-,14.70%,-17.09%,-,-,5.00,-,92.50%,124.18%,1.15,921,5.00,-2.00%,14.00%,65.11,2.85% 4.22%,Yes,0.00,211.90%,11.70%,0.25,32.35,Yes,0.00,Nov 05 AMC,0.00%,large,3620000000.0,carg,CarGurus Inc. Class A Common Stock ,3707385371.0,United States,2017.0,Technology,EDP Services
carr,12-18-2020,21.45,1.76,0.04%,866.40M,32.93B,19.89,1.90,0.00%,866.38M,-0.89%,1.54B,-,0.34,84.00%,0.97%,23.54%,17.36B,1.90,-22.60%,-0.78%,1.64,66.87%,5.88,6.42,11.92%,-,41.20,-,4.41,8.56,-4.62%,-,11.50 - 41.48,214.42%,0.48,14.63,-,14.00%,-9.86%,-,1.27%,1.50,-,29.40%,225.13%,0.99,52635,1.80,3.70%,13.80%,48.18,2.53% 2.53%,Yes,2.35,48.00%,8.90%,0.23,37.73,Yes,2.31,Oct 29 BMO,9.00%,large,32930000000.0,carr,Carrier Global Corporation Common Stock ,32587441314.0,,2020.0,Capital Goods,Industrial Machinery/Components
cars,12-18-2020,-,-12.37,1.60%,67.30M,770.86M,7.35,1.56,0.81%,66.38M,2.86%,-828.40M,-,0.45,-,4.29%,42.20%,546.70M,1.41,-14.20%,0.35%,2.62,102.29%,4.79,2.40,17.61%,-61.00%,12.50,-5.97%,0.65,17.60,15.00%,-154.80%,3.25 - 13.47,-5.97%,-,7.76,-,-23.30%,-15.89%,2.42,-,1.40,4.10%,71.50%,248.62%,0.62,1500,1.40,-5.10%,-,48.70,4.58% 4.99%,Yes,1.83,97.10%,-,0.15,11.49,Yes,1.73,Nov 09 BMO,-,small,770860000.0,cars,Cars.com Inc. Common Stock ,780332497.0,,2017.0,Technology,EDP Services
carv,12-18-2020,-,-1.31,2.00%,3.78M,19.93M,-,-,-4.62%,0.62M,-7.93%,-4.90M,-,-,10.90%,5.78%,2.64%,20.60M,0.97,8.70%,2.50%,0.07,-9.19%,7.50,0.88,-,-0.80%,-,173.86%,23.75,0.28,-,-49.40%,1.25 - 22.97,172.32%,-,-,-,420.40%,-71.77%,1.63,-,-,-0.60%,-,418.77%,0.34,109,-,-3.80%,75.60%,42.73,3.56% 5.49%,No,0.00,24.50%,-23.60%,0.07,6.62,Yes,0.00,-,-,small,19930000.0,carv,Carver Bancorp Inc. Common Stock,19890697.0,United States,,Finance,Savings Institutions
casa,12-18-2020,-,-0.29,0.80%,83.30M,520.85M,21.23,0.30,0.00%,30.43M,20.34%,-24.10M,-,0.11,70.20%,7.31%,58.56%,385.60M,1.35,-172.30%,-2.78%,7.34,49.65%,0.57,11.21,157.26%,-5.50%,6.60,56.23%,1.92,3.33,-,-58.30%,1.85 - 7.97,56.23%,-,13.42,-31.80%,-9.90%,-21.83%,-,-,2.30,6.00%,51.30%,236.76%,0.42,997,3.30,29.20%,4.40%,49.75,5.63% 7.28%,Yes,6.09,140.20%,-6.20%,0.49,6.39,Yes,6.05,Oct 28 AMC,-,small,520850000.0,casa,Casa Systems Inc. Common Stock,540401587.0,United States,2017.0,Technology,Radio And Television Broadcasting And Communications Equipment
cash,12-18-2020,12.38,2.92,1.20%,34.63M,1.22B,8.96,4.04,-49.67%,31.35M,9.31%,104.70M,-,0.55,74.20%,2.01%,88.24%,292.80M,4.15,17.90%,0.40%,2.31,106.74%,24.37,1.48,28.57%,1.60%,40.25,-0.90%,13.53,2.67,-,12.70%,13.09 - 40.00,-0.90%,0.20,2.71,27.10%,24.30%,-8.55%,0.96,0.55%,-,36.60%,-,179.45%,1.21,1015,-,-15.30%,79.90%,63.57,2.89% 3.34%,Yes,0.12,-28.70%,35.80%,0.17,36.18,Yes,0.12,Oct 28 AMC,6.80%,large,1220000000.0,cash,Meta Financial Group Inc. Common Stock,1207424209.0,United States,1993.0,Finance,Major Banks
casi,12-18-2020,-,-0.45,4.10%,117.94M,379.35M,-,-0.24,-,70.74M,18.88%,-47.00M,-,-0.07,32.10%,2.67%,93.46%,11.70M,32.42,-48.00%,68.63%,4.27,19.84%,0.78,3.79,33.30%,-43.90%,4.00,-4.21%,0.60,4.97,-,-63.00%,1.15 - 3.32,-4.21%,-,-,12.10%,-64.30%,-13.55%,0.41,-,14.90,180.60%,24.20%,149.57%,0.24,125,15.00,50.00%,-,59.19,8.06% 8.82%,No,0.00,-42.90%,-,0.65,2.96,Yes,0.00,Nov 09 AMC,-,small,379350000.0,casi,CASI Pharmaceuticals Inc. Common Stock,354479351.0,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
cass,12-18-2020,22.55,1.72,0.80%,14.35M,556.92M,-,-,-3.88%,12.16M,-8.53%,25.10M,-,-,66.60%,3.09%,-3.55%,150.60M,3.70,2.20%,-0.29%,9.53,1.09%,17.53,2.21,-,1.40%,-,-32.78%,15.66,2.48,-,10.20%,28.85 - 58.50,-32.78%,1.08,23.01,5.80%,4.60%,-33.67%,0.84,2.78%,-,6.30%,97.90%,34.51%,1.39,875,-,-13.60%,20.50%,38.64,2.93% 3.18%,Yes,2.13,-28.70%,16.70%,0.6,38.81,Yes,0.00,Oct 22 BMO,61.80%,small,556920000.0,cass,Cass Information Systems Inc Common Stock,557703883.0,United States,,Miscellaneous,Business Services
casy,12-18-2020,20.28,8.82,0.20%,37.03M,6.59B,22.43,7.98,-1.21%,36.77M,-1.55%,328.60M,2.74,1.05,86.90%,1.99%,0.69%,8.38B,0.79,28.70%,-2.46%,3.38,19.24%,50.22,3.56,-1.68%,8.10%,204.58,12.50%,10.98,16.29,7.40%,19.20%,114.01 - 196.57,12.50%,1.36,19.26,9.00%,10.40%,-8.72%,0.88,0.76%,0.90,3.40%,27.20%,57.38%,4.42,17282,1.30,-10.90%,5.70%,48.86,1.95% 2.60%,Yes,0.73,36.10%,3.90%,0.44,178.87,Yes,0.73,Dec 07 AMC,14.40%,large,6590000000.0,casy,Casey's General Stores Inc. Common Stock,6605219636.0,United States,1983.0,Consumer Durables,Automotive Aftermarket
cat,12-18-2020,29.94,6.01,0.10%,542.30M,97.19B,24.37,7.39,-17.35%,542.19M,3.72%,3.32B,-,1.46,69.70%,1.40%,20.71%,43.66B,2.23,3.40%,2.19%,2.39,42.82%,27.57,6.53,35.74%,4.30%,173.75,21.91%,-,-,-2.72%,23.10%,87.50 - 183.81,21.91%,4.12,28.43,21.70%,12.20%,-1.60%,0.96,2.29%,1.10,-0.50%,30.40%,106.70%,3.61,102300,1.50,-22.60%,11.50%,57.89,1.63% 1.97%,Yes,2.55,-54.10%,7.60%,0.35,180.04,Yes,1.75,Oct 27 BMO,67.90%,large,97190000000.0,cat,Caterpillar Inc. Common Stock,98275423395.0,United States,,Capital Goods,Construction/Ag Equipment/Trucks
catb,12-18-2020,-,-2.14,0.13%,20.08M,47.37M,-,-0.70,0.00%,20.06M,35.15%,-34.90M,-,-0.46,51.00%,9.55%,-63.97%,-,-,54.10%,2.61%,0.37,-65.21%,2.54,0.88,65.70%,-65.00%,-,-62.27%,-,-,-,-73.70%,1.25 - 8.59,-62.27%,-,-,31.70%,-,-75.55%,2.16,-,8.00,-,-,68.00%,0.22,27,8.00,-,-,48.52,11.54% 13.89%,Yes,0.00,0.20%,-,0.16,2.23,Yes,0.00,-,-,small,47370000.0,catb,Catabasis Pharmaceuticals Inc. Common Stock,44386385.0,United States,2015.0,Health Care,Major Pharmaceuticals
catc,12-18-2020,16.51,4.30,0.20%,6.92M,492.67M,11.50,6.17,-20.43%,6.47M,5.01%,26.00M,-,1.95,45.40%,1.33%,33.54%,119.90M,4.11,-6.90%,-1.62%,5.65,25.96%,56.81,1.25,-8.51%,0.80%,78.67,-11.43%,10.23,6.94,-,7.60%,44.20 - 80.25,-11.43%,2.12,26.63,7.30%,23.40%,-12.70%,0.50,2.99%,-,13.80%,-,58.51%,1.87,312,-,40.30%,89.60%,49.03,1.53% 2.50%,No,0.03,22.70%,21.70%,0.78,70.99,Yes,0.03,Oct 20 BMO,48.10%,small,492670000.0,catc,Cambridge Bancorp Common Stock,487405061.0,United States,,Finance,Major Banks
catm,12-18-2020,69.23,0.51,0.60%,44.51M,1.56B,18.94,1.86,0.00%,43.75M,45.14%,22.90M,-,0.54,-,12.03%,77.98%,1.16B,1.35,-36.90%,-2.72%,8.20,51.64%,7.51,4.69,16.82%,1.20%,35.90,-21.08%,5.94,5.93,-3.00%,6.70%,15.71 - 47.41,-21.08%,-,23.87,5.30%,6.30%,-25.75%,1.83,-,0.90,5.00%,34.50%,124.06%,1.18,1987,0.90,-20.50%,4.40%,75.35,1.36% 3.68%,Yes,2.67,-72.30%,1.90%,0.64,35.24,Yes,2.31,Oct 29 AMC,0.00%,large,1560000000.0,catm,Cardtronics plc Class A Ordinary Shares (UK),1568273804.0,United States,2007.0,Miscellaneous,Business Services
cato,12-18-2020,-,-2.78,6.41%,22.68M,213.58M,-,-,0.00%,19.81M,15.26%,-63.30M,-,-,78.20%,5.15%,18.80%,610.60M,0.35,20.20%,-0.24%,4.52,14.69%,11.30,0.82,-,-10.30%,-,-46.61%,6.59,1.41,10.00%,-23.30%,6.07 - 17.98,-46.61%,-,-,-7.50%,9.40%,-46.43%,0.89,-,1.20,-3.50%,26.40%,58.65%,0.47,10060,1.70,-21.30%,-17.20%,66.57,5.86% 5.12%,Yes,0.00,-339.30%,-10.60%,0.75,9.29,Yes,0.00,Nov 19 BMO,-,small,213580000.0,cato,Cato Corporation (The) Class A Common Stock,210764094.0,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
